symbol,companyName,industry,isin,sector,basic_industry
VADILALIND,Vadilal Industries Limited,Dairy Products,INE694D01016,,
SANSTAR,Sanstar Limited,Other Agricultural Products,INE08NE01025,,
COLPAL,Colgate Palmolive (India) Limited,Personal Care,INE259A01022,Fast Moving Consumer Goods,Personal Care
INDIANB,Indian Bank,Public Sector Bank,INE562A01011,Services,Urban Local Bodies
SARDAEN,Sarda Energy & Minerals Limited,Iron & Steel,INE385C01021,,
MANAKCOAT,Manaksia Coated Metals & Industries Limited,Iron & Steel Products,INE830Q01018,,
DIAMONDYD,Prataap Snacks Limited,Packaged Foods,INE393P01035,,
MAXIND,Max India Limited,Holding Company,INE0CG601016,,
STARCEMENT,Star Cement Limited,Cement & Cement Products,INE460H01021,Construction Materials,Cement & Cement Products
EKC,Everest Kanto Cylinder Limited,Industrial Products,INE184H01027,Capital Goods,Cables - Electricals
EKC,Everest Kanto Cylinder Limited,Industrial Products,INE184H01027,Capital Goods,Castings & Forgings
EKC,Everest Kanto Cylinder Limited,Industrial Products,INE184H01027,Capital Goods,Packaging
EKC,Everest Kanto Cylinder Limited,Industrial Products,INE184H01027,Capital Goods,Plastic Products - Industrial
EKC,Everest Kanto Cylinder Limited,Industrial Products,INE184H01027,Capital Goods,Rubber
EKC,Everest Kanto Cylinder Limited,Industrial Products,INE184H01027,Capital Goods,Other Industrial Products
EKC,Everest Kanto Cylinder Limited,Industrial Products,INE184H01027,Capital Goods,Glass - Industrial
EKC,Everest Kanto Cylinder Limited,Industrial Products,INE184H01027,Capital Goods,"Aluminium, Copper & Zinc Products"
EKC,Everest Kanto Cylinder Limited,Industrial Products,INE184H01027,Capital Goods,Iron & Steel Products
EKC,Everest Kanto Cylinder Limited,Industrial Products,INE184H01027,Capital Goods,Abrasives & Bearings
EKC,Everest Kanto Cylinder Limited,Industrial Products,INE184H01027,Capital Goods,"Compressors, Pumps & Diesel Engines"
EKC,Everest Kanto Cylinder Limited,Industrial Products,INE184H01027,Capital Goods,Electrodes & Refractories
NH,Narayana Hrudayalaya Ltd.,Hospital,INE410P01011,,
MBAPL,Madhya Bharat Agro Products Limited,Fertilizers,INE900L01010,Chemicals,Fertilizers
MANAPPURAM,Manappuram Finance Limited,Non Banking Financial Company (NBFC),INE522D01027,,
VPRPL,Vishnu Prakash R Punglia Limited,Civil Construction,INE0AE001013,,
BIRLAMONEY,Aditya Birla Money Limited,Stockbroking & Allied,INE865C01022,,
WESTLIFE,WESTLIFE FOODWORLD LIMITED,Restaurants,INE274F01020,,
BALAMINES,Balaji Amines Limited,Specialty Chemicals,INE050E01027,,
